Subject_ID,Partition_ID
FeTS2022_01152,4
FeTS2022_01178,4
FeTS2022_01186,4
FeTS2022_01184,4
FeTS2022_01181,4
FeTS2022_01187,4
FeTS2022_01168,4
FeTS2022_01196,4
FeTS2022_01173,4
FeTS2022_01176,4
FeTS2022_01200,4
FeTS2022_00565,4
FeTS2022_01193,4
FeTS2022_01174,4
FeTS2022_01662,4
FeTS2022_01660,4
FeTS2022_01201,4
FeTS2022_01167,4
FeTS2022_01170,4
FeTS2022_01179,4
FeTS2022_01185,4
FeTS2022_01197,4
FeTS2022_01172,4
FeTS2022_01189,4
FeTS2022_00563,4
FeTS2022_01180,4
FeTS2022_01198,4
FeTS2022_01183,4
FeTS2022_01151,4
FeTS2022_01195,4
FeTS2022_01657,4
FeTS2022_01194,4
FeTS2022_01191,4
FeTS2022_01169,4
FeTS2022_01171,4
FeTS2022_00561,4
FeTS2022_01659,4
FeTS2022_01661,4
FeTS2022_01190,4
FeTS2022_01188,4
FeTS2022_01199,4
FeTS2022_01658,4
FeTS2022_01192,4
FeTS2022_01175,4
FeTS2022_01182,4
FeTS2022_01537,4
FeTS2022_01177,4
FeTS2022_01451,6
FeTS2022_01453,6
FeTS2022_01452,6
FeTS2022_00831,6
FeTS2022_01448,6
FeTS2022_01300,6
FeTS2022_01443,6
FeTS2022_00136,6
FeTS2022_01454,6
FeTS2022_00144,6
FeTS2022_00121,6
FeTS2022_01297,6
FeTS2022_00133,6
FeTS2022_01447,6
FeTS2022_00142,6
FeTS2022_01450,6
FeTS2022_00120,6
FeTS2022_01298,6
FeTS2022_01449,6
FeTS2022_01442,6
FeTS2022_01446,6
FeTS2022_01303,6
FeTS2022_01296,6
FeTS2022_00132,6
FeTS2022_01441,6
FeTS2022_01445,6
FeTS2022_01302,6
FeTS2022_00143,6
FeTS2022_00105,6
FeTS2022_01444,6
FeTS2022_00147,6
FeTS2022_01455,6
FeTS2022_00146,6
FeTS2022_00137,6
FeTS2022_01491,13
FeTS2022_01500,13
FeTS2022_01519,13
FeTS2022_01516,13
FeTS2022_01509,13
FeTS2022_01520,13
FeTS2022_01508,13
FeTS2022_01503,13
FeTS2022_01488,13
FeTS2022_01492,13
FeTS2022_01502,13
FeTS2022_01493,13
FeTS2022_01497,13
FeTS2022_01499,13
FeTS2022_01487,13
FeTS2022_01505,13
FeTS2022_01504,13
FeTS2022_01490,13
FeTS2022_01507,13
