Subject_ID,Partition_ID
FeTS2022_01412,2
FeTS2022_01415,2
FeTS2022_01411,2
FeTS2022_01414,2
FeTS2022_01413,2
FeTS2022_01416,2
FeTS2022_01439,3
FeTS2022_01435,3
FeTS2022_01434,3
FeTS2022_01440,3
FeTS2022_01431,3
FeTS2022_01437,3
FeTS2022_01436,3
FeTS2022_01433,3
FeTS2022_01438,3
FeTS2022_01426,3
FeTS2022_01427,3
FeTS2022_01428,3
FeTS2022_01429,3
FeTS2022_01432,3
FeTS2022_01430,3
FeTS2022_00102,5
FeTS2022_00149,5
FeTS2022_01290,5
FeTS2022_00113,5
FeTS2022_01009,5
FeTS2022_01007,5
FeTS2022_01002,5
FeTS2022_00139,5
FeTS2022_01292,5
FeTS2022_00100,5
FeTS2022_01289,5
FeTS2022_01291,5
FeTS2022_01005,5
FeTS2022_01282,5
FeTS2022_01003,5
FeTS2022_00109,5
FeTS2022_01283,5
FeTS2022_00999,5
FeTS2022_01281,5
FeTS2022_01284,5
FeTS2022_00151,5
FeTS2022_00123,5
FeTS2022_01459,7
FeTS2022_01464,7
FeTS2022_01458,7
FeTS2022_01457,7
FeTS2022_01461,7
FeTS2022_01456,7
FeTS2022_01460,7
FeTS2022_01462,7
FeTS2022_01466,7
FeTS2022_01465,7
FeTS2022_01463,7
FeTS2022_01467,7
FeTS2022_00140,8
FeTS2022_01469,8
FeTS2022_01468,8
FeTS2022_01470,8
FeTS2022_00104,8
FeTS2022_00110,8
FeTS2022_00112,8
FeTS2022_00128,8
FeTS2022_01472,10
FeTS2022_00117,10
FeTS2022_00130,10
FeTS2022_00138,10
FeTS2022_01473,10
FeTS2022_00111,10
FeTS2022_00124,10
FeTS2022_00106,10
FeTS2022_00122,11
FeTS2022_00148,11
FeTS2022_01474,11
FeTS2022_00108,11
FeTS2022_01144,11
FeTS2022_00107,11
FeTS2022_01140,11
FeTS2022_01146,11
FeTS2022_01145,11
FeTS2022_01139,11
FeTS2022_01141,11
FeTS2022_01142,11
FeTS2022_01143,11
FeTS2022_01475,11
FeTS2022_01482,12
FeTS2022_01480,12
FeTS2022_01485,12
FeTS2022_01476,12
FeTS2022_01481,12
FeTS2022_01483,12
FeTS2022_01486,12
FeTS2022_01484,12
FeTS2022_01479,12
FeTS2022_01477,12
FeTS2022_01478,12
FeTS2022_01522,14
FeTS2022_01525,14
FeTS2022_01526,14
FeTS2022_01527,14
FeTS2022_01524,14
FeTS2022_01523,14
FeTS2022_01530,15
FeTS2022_01536,15
FeTS2022_01535,15
FeTS2022_01663,15
FeTS2022_01534,15
FeTS2022_01529,15
FeTS2022_01531,15
FeTS2022_01666,15
FeTS2022_01665,15
FeTS2022_01532,15
FeTS2022_01664,15
FeTS2022_01528,15
FeTS2022_01533,15
FeTS2022_01423,17
FeTS2022_01420,17
FeTS2022_01422,17
FeTS2022_01417,17
FeTS2022_01421,17
FeTS2022_01424,17
FeTS2022_01418,17
FeTS2022_01425,17
FeTS2022_01419,17
FeTS2022_01166,19
FeTS2022_01163,19
FeTS2022_01165,19
FeTS2022_01164,19
FeTS2022_01031,22
FeTS2022_01033,22
FeTS2022_01030,22
FeTS2022_00118,22
FeTS2022_01029,22
FeTS2022_00126,22
FeTS2022_01032,22
FeTS2022_01147,23
FeTS2022_01149,23
FeTS2022_01150,23
FeTS2022_01148,23
FeTS2022_01162,23
